artistName,trackName,msPlayed
Daft Punk,Around the World - Radio Edit [Radio Edit],146587
Daft Punk,"Harder, Better, Faster, Stronger",115983
Daft Punk,Instant Crush (Drumless Edition) (feat. Julian Casablancas),43427
Daft Punk,Instant Crush (feat. Julian Casablancas),305203
Daisy Jones & The Six,Look At Us Now (Honeycomb),1021
Daisy Jones & The Six,Regret Me,1880
Dan + Shay,"10,000 Hours (with Justin Bieber)",232
Daniel Caesar,Best Part (feat. H.E.R.),32959
Daniel Caesar,Blessed,597
Daniel Caesar,Get You (feat. Kali Uchis),2484
Daniel Caesar,Japanese Denim,3018
Daniel Caesar,Loose,1904
Daniel Caesar,We Find Love,1258
Danny,Ve Haaniyaan,1091
Daprinski,Chorégraphie du départ - Instrumental,5572
Darshan Raval,Asal Mein,3575
Darshan Raval,"Chogada (From ""Loveyatri"")",106115
Darshan Raval,Ek Tarfa,810
Darshan Raval,Mahiye Jinna Sohna,2089
Darshan Raval,Mannat,766
Darshan Raval,Mujhe Peene Do,1439
Darshan Raval,Rabba Mehar Kari,1439
Dasha,Austin (Boots Stop Workin'),952
Dave,Sprinter,166905
David Guetta,Titanium (feat. Sia),1160
David Kushner,Daylight,789
Dayglow,Can I Call You Tonight?,3073
Declan McKenna,Brazil,218430
Del Baldo,Mambo Number Five,2089
Del Water Gap,Cigarettes & Wine (feat. Holly Humberstone),9682
Delaney Bailey,Coffee Stained Smile,0
Delaney Bailey,Finish Line,158048
Delaney Bailey,For You,0
Demi Lovato,Confident,746
Demi Lovato,Cool for the Summer,67895
Demi Lovato,Give Your Heart a Break,1002
Demi Lovato,Heart Attack,302556
Demi Lovato,La La Land,1625
Demi Lovato,Really Don't Care,1160
Demi Lovato,Sorry Not Sorry,810
Demi Lovato,Stone Cold,1602
Demise,Yebba's Heartbreak,4156
Denny,Chale Jaana Phir (Humko Tere Bina),3250
Destiny Rogers,Tomboy,418837
Destiny's Child,Say My Name,928
Dev Negi,"Badri Ki Dulhania (Title Track) [From ""Badrinath Ki Dulhania""]",135395
Dev Negi,Chalti Hai Kya 9 Se 12,8126
Dev Negi,Sweetheart,719
