,endTime,artistName,trackName,msPlayed
575,2023-08-06 16:53,THE ANXIETY,Meet Me At Our Spot - Live,682
576,2023-08-06 16:53,Stacey Ryan,Fall In Love Alone - Sped Up Version,682
577,2023-08-06 16:53,Justine Skye,Collide (Sped Up Remix),768
578,2023-08-06 16:53,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,277
579,2023-08-06 16:53,Taylor Swift,Call It What You Want,1024
580,2023-08-06 16:53,Taylor Swift,august,511
581,2023-08-07 01:42,Kali Uchis,Moonlight,94976
582,2023-08-07 01:45,Justine Skye,Collide (Sped Up Remix),188906
583,2023-08-07 01:46,Stephen Sanchez,Until I Found You - Piano Version,2261
584,2023-08-07 01:46,Cochise,Tell Em,59157
585,2023-08-07 01:50,Taylor Swift,champagne problems,241365
586,2023-08-07 01:55,Paramore,26,1962
587,2023-08-07 01:55,Clairo,Sofia,2837
588,2023-08-07 01:55,Billie Eilish,TV,1706
589,2023-08-07 01:55,Taylor Swift,cardigan,285674
590,2023-08-07 01:57,Lana Del Rey,Radio,61632
591,2023-08-07 02:00,Taylor Swift,Maroon,197205
592,2023-08-07 02:04,Harry Styles,Satellite,1471
593,2023-08-07 02:04,Madison Beer,Reckless,1493
594,2023-08-07 02:04,Rex Orange County,Pluto Projector,242794
595,2023-08-07 02:04,The Neighbourhood,Pretty Boy,1685
596,2023-08-07 02:08,Justin Bieber,Die In Your Arms,237293
597,2023-08-07 02:08,Daniel Caesar,Best Part (feat. H.E.R.),9728
598,2023-08-07 02:11,Hayley Williams,Dead Horse,193813
599,2023-08-07 02:15,Kero Kero Bonito,Flamingo,197528
600,2023-08-07 02:17,kenzie,Donuts (feat. Yung Bae),120265
601,2023-08-07 02:20,Paramore,Hard Times,182693
602,2023-08-07 02:24,Dua Lipa,Break My Heart,221820
603,2023-08-07 02:26,Dua Lipa,We're Good,134817
604,2023-08-07 02:30,Arctic Monkeys,Knee Socks,235242
605,2023-08-07 02:33,Post Malone,Better Now,1578
606,2023-08-07 02:33,Metric,Black Sheep,2282
607,2023-08-07 02:33,Doja Cat,Woman,151637
608,2023-08-07 02:36,Kero Kero Bonito,You Know How It Is,1066
609,2023-08-07 02:36,Bella Poarch,Build a Bitch,198122
610,2023-08-07 02:37,Lana Del Rey,Shades Of Cool,2432
611,2023-08-07 02:37,John Mayer,New Light,16789
612,2023-08-07 02:39,Lana Del Rey,Pretty When You Cry,144853
613,2023-08-07 02:41,Lana Del Rey,Fucked My Way Up To The Top,87146
614,2023-08-07 02:41,Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),341
615,2023-08-07 02:52,Julian Casablancas,"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",203666
616,2023-08-07 02:57,Julian Casablancas,11th Dimension,279954
617,2023-08-07 02:59,The Strokes,Is This It,151333
618,2023-08-07 03:04,The Voidz,Did My Best,111130
619,2023-08-07 03:08,Sabrina Carpenter,emails i can’t send,1322
620,2023-08-07 03:08,Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),174869
621,2023-08-07 03:12,Lana Del Rey,West Coast,215253
622,2023-08-07 12:21,Taylor Swift,Call It What You Want,155029
623,2023-08-07 12:24,Justine Skye,Collide (Sped Up Remix),140117
624,2023-08-07 12:26,Cochise,Tell Em,93375
625,2023-08-07 12:28,Santana,Maria Maria (feat. The Product G&B) - sped up,107327
626,2023-08-07 12:31,grentperez,Cherry Wine,145600
627,2023-08-07 12:31,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",128
628,2023-08-07 12:40,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",422656
629,2023-08-07 12:45,Shawn Mendes,Señorita,163840
630,2023-08-07 12:49,Clairo,Sofia,853
631,2023-08-07 12:49,SEB,seaside_demo,831
632,2023-08-07 12:49,The Walters,I Love You So,1088
633,2023-08-07 12:49,THE ANXIETY,Meet Me At Our Spot - Live,123370
634,2023-08-07 12:49,WILLOW,Wait a Minute!,1301
635,2023-08-07 12:49,Conan Gray,Telepath,1322
636,2023-08-07 12:49,THE ANXIETY,Meet Me At Our Spot,42
637,2023-08-07 12:51,Harry Styles,As It Was,2175
638,2023-08-07 12:51,THE ANXIETY,Poolside,703
639,2023-08-07 12:51,NIKI,Every Summertime,1471
640,2023-08-07 12:51,GAYLE,abcdefu,1322
641,2023-08-07 12:51,Beach Bunny,Cloud 9,151466
642,2023-08-07 12:57,Olivia Rodrigo,deja vu,344597
643,2023-08-07 13:00,WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker,981
644,2023-08-07 13:00,Conan Gray,People Watching,175950
645,2023-08-07 13:00,JVKE,this is what falling in love feels like,5075
646,2023-08-07 13:00,THE ANXIETY,After You Cry,1429
647,2023-08-07 13:00,Harry Styles,Late Night Talking,1407
648,2023-08-07 13:01,Ruth B.,Dandelions,981
649,2023-08-07 13:01,Steve Lacy,Bad Habit,29845
650,2023-08-07 13:04,Billie Eilish,Happier Than Ever,173674
651,2023-08-07 13:05,WILLOW,Time Machine,1130
652,2023-08-07 13:05,Lyn Lapid,In My Mind,78357
653,2023-08-07 13:05,Wallows,Are You Bored Yet? (feat. Clairo),1749
654,2023-08-07 13:08,Sarah Cothran,As the World Caves In,152320
655,2023-08-07 13:08,Glass Animals,Heat Waves,1002
656,2023-08-07 13:09,Olivia Rodrigo,good 4 u,1151
657,2023-08-07 13:09,Bruno Major,Nothing,0
